"No","date","age","distance_metro","no_convenience_stores","latitude","longitude","price"
109,2013.417,31.4,592.5006,2,24.9726,121.53561,34.1
184,2013.5,17,4082.015,0,24.94155,121.50381,18.8
247,2013.417,16.4,389.8219,6,24.96412,121.54273,40.6
294,2012.667,12.6,383.2805,7,24.96735,121.54464,42.5
2,2012.917,19.5,306.5947,9,24.98034,121.53951,42.2
16,2013.583,35.7,579.2083,2,24.9824,121.54619,50.5
35,2012.75,15.4,205.367,7,24.98419,121.54243,55.1
170,2013.417,8.4,1962.628,1,24.95468,121.55481,23.5
345,2013.5,34.6,3085.17,0,24.998,121.5155,41.2
234,2013.333,39.7,333.3679,9,24.98016,121.53932,32.4
337,2012.833,5.1,1867.233,2,24.98407,121.51748,35.6
242,2013.5,13.7,250.631,7,24.96606,121.54297,41.4
216,2013.333,19.2,383.7129,8,24.972,121.54477,48.1
369,2013.417,18.2,350.8515,1,24.97544,121.53119,43.1
228,2012.917,32.4,265.0609,8,24.98059,121.53986,40.2
177,2012.833,13.9,4573.779,0,24.94867,121.49507,19.2
409,2013.417,18.5,2175.744,3,24.9633,121.51243,28.1
253,2012.833,5.9,90.45606,9,24.97433,121.5431,52.7
93,2012.917,20.6,2469.645,4,24.96108,121.51046,21.8
263,2012.917,15.9,289.3248,5,24.98203,121.54348,53
61,2013.417,11,1931.207,2,24.96365,121.51471,21.3
55,2013.083,16.1,289.3248,5,24.98203,121.54348,51.7
325,2012.667,12.4,1712.632,2,24.96412,121.5167,31.3
162,2013.417,19.2,616.4004,3,24.97723,121.53767,39.6
303,2013.5,16.5,2288.011,3,24.95885,121.51359,23.2
235,2013.25,8,2216.612,4,24.96007,121.51361,23.9
97,2013.417,6.4,90.45606,9,24.97433,121.5431,59.5
295,2013.5,26.4,335.5273,6,24.9796,121.5414,38.1
318,2012.75,15.6,752.7669,2,24.97795,121.53451,37.5
350,2012.75,7.8,104.8101,5,24.96674,121.54067,47
120,2013.5,16.6,289.3248,5,24.98203,121.54348,59.6
238,2013.167,13,732.8528,0,24.97668,121.52518,39
70,2012.833,12.5,561.9845,5,24.98746,121.54391,42
273,2012.75,13,492.2313,5,24.96515,121.53737,40.5
147,2012.75,0,185.4296,0,24.9711,121.5317,52.2
328,2013.417,3.5,757.3377,3,24.97538,121.54971,36.7
255,2012.667,1.1,329.9747,5,24.98254,121.54395,51.8
192,2013.167,13.2,750.0704,2,24.97371,121.54951,37.8
62,2013.5,5.3,259.6607,6,24.97585,121.54516,63.2
87,2012.833,1.8,1455.798,1,24.9512,121.549,27
57,2013.417,33.6,371.2495,8,24.97254,121.54059,41.9
226,2013.25,1.1,193.5845,6,24.96571,121.54089,49
314,2013.333,8.3,104.8101,5,24.96674,121.54067,42.8
69,2013.417,30.4,464.223,6,24.97964,121.53805,36.2
24,2013.083,10.1,279.1726,7,24.97528,121.54541,47.9
34,2013.25,16.5,323.655,6,24.97841,121.54281,49.3
115,2012.667,30.6,143.8383,8,24.98155,121.54142,53.3
202,2013.417,13.1,561.9845,5,24.98746,121.54391,45.9
362,2013.083,41.4,281.205,8,24.97345,121.54093,63.3
205,2013,18,1414.837,1,24.95182,121.54887,26.6
322,2012.917,16.9,964.7496,4,24.98872,121.53411,37.7
237,2013.167,3.6,373.8389,10,24.98322,121.53765,61.9
187,2013.167,20.9,2185.128,3,24.96322,121.51237,25.7
44,2012.75,34.4,512.7871,6,24.98748,121.54301,34.1
39,2012.667,3.1,577.9615,6,24.97201,121.54722,47.7
178,2013.083,33,181.0766,9,24.97697,121.54262,42
165,2012.833,0,185.4296,0,24.9711,121.5317,55.2
260,2013.083,17.7,837.7233,0,24.96334,121.54767,28.8
376,2013.25,21.7,1157.988,0,24.96165,121.55011,23.8
379,2013.333,37.3,587.8877,8,24.97077,121.54634,37.4
122,2013.5,13.6,492.2313,5,24.96515,121.53737,48
119,2013.5,25.3,1583.722,3,24.96622,121.51709,30.6
129,2013.083,41.3,124.9912,6,24.96674,121.54039,60.7
175,2013.417,4.3,432.0385,7,24.9805,121.53778,45.2
406,2012.667,23,130.9945,6,24.95663,121.53765,37.2
197,2013,22.8,707.9067,2,24.981,121.54713,36.6
310,2013.25,30.3,1264.73,0,24.94883,121.52954,19.1
67,2013,1,193.5845,6,24.96571,121.54089,50.7
95,2012.917,40.9,167.5989,5,24.9663,121.54026,41
85,2013.083,15.1,383.2805,7,24.96735,121.54464,43.7
336,2013.583,27.3,337.6016,6,24.96431,121.54063,36.5
42,2013.5,16.8,4066.587,0,24.94297,121.50342,18.2
380,2013.333,0,292.9978,6,24.97744,121.54458,69.7
287,2012.917,5.9,90.45606,9,24.97433,121.5431,56.3
218,2012.917,28,372.6242,6,24.97838,121.54119,40.8
360,2013.5,5.6,2408.993,0,24.95505,121.55964,24.7
112,2013.583,33.3,196.6172,7,24.97701,121.54224,39.4
196,2013.333,15.2,461.1016,5,24.95425,121.5399,34.6
182,2013.167,11.6,201.8939,8,24.98489,121.54121,55.9
133,2013.167,26.6,482.7581,5,24.97433,121.53863,37.5
240,2013.5,18.1,837.7233,0,24.96334,121.54767,29.7
327,2013.5,4.1,56.47425,7,24.95744,121.53711,62.1
366,2012.917,17.3,2261.432,4,24.96182,121.51222,29.5
